id,title,company,location,industry,posted_date,description
da-0,Senior Data Analyst,Employer 0,"Denver, CO",Technology,2026-01-01,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-1,Senior Data Analyst,Employer 1,"Denver, CO",Technology,2026-02-02,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-2,Senior Data Analyst,Employer 2,"Denver, CO",Technology,2026-03-03,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-3,Senior Data Analyst,Employer 3,"Denver, CO",Technology,2026-04-04,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-4,Senior Data Analyst,Employer 4,"Denver, CO",Technology,2026-05-05,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-5,Senior Data Analyst,Employer 5,"Denver, CO",Technology,2026-06-06,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-6,Senior Data Analyst,Employer 6,"Denver, CO",Technology,2026-07-07,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-7,Senior Data Analyst,Employer 7,"Denver, CO",Technology,2026-08-08,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-8,Senior Data Analyst,Employer 8,"Denver, CO",Technology,2026-01-09,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-9,Senior Data Analyst,Employer 9,"Denver, CO",Technology,2026-02-10,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-10,Senior Data Analyst,Employer 10,"Denver, CO",Technology,2026-03-11,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-11,Senior Data Analyst,Employer 11,"Denver, CO",Technology,2026-04-12,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-12,Senior Data Analyst,Employer 12,"Denver, CO",Technology,2026-05-13,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-13,Senior Data Analyst,Employer 13,"Denver, CO",Technology,2026-06-14,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-14,Senior Data Analyst,Employer 14,"Denver, CO",Technology,2026-07-15,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-15,Senior Data Analyst,Employer 15,"Denver, CO",Technology,2026-08-16,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-16,Senior Data Analyst,Employer 16,"Denver, CO",Technology,2026-01-17,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-17,Senior Data Analyst,Employer 0,"Denver, CO",Technology,2026-02-18,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-18,Senior Data Analyst,Employer 1,"Denver, CO",Technology,2026-03-19,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-19,Senior Data Analyst,Employer 2,"Denver, CO",Technology,2026-04-20,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-20,Senior Data Analyst,Employer 3,"Denver, CO",Technology,2026-05-01,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-21,Senior Data Analyst,Employer 4,"Denver, CO",Technology,2026-06-02,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-22,Senior Data Analyst,Employer 5,"Denver, CO",Technology,2026-07-03,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-23,Senior Data Analyst,Employer 6,"Denver, CO",Technology,2026-08-04,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-24,Senior Data Analyst,Employer 7,"Denver, CO",Technology,2026-01-05,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-25,Senior Data Analyst,Employer 8,"Denver, CO",Technology,2026-02-06,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-26,Senior Data Analyst,Employer 9,"Denver, CO",Technology,2026-03-07,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-27,Senior Data Analyst,Employer 10,"Denver, CO",Technology,2026-04-08,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-28,Senior Data Analyst,Employer 11,"Denver, CO",Technology,2026-05-09,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-29,Senior Data Analyst,Employer 12,"Denver, CO",Technology,2026-06-10,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-30,Senior Data Analyst,Employer 13,"Denver, CO",Technology,2026-07-11,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-31,Senior Data Analyst,Employer 14,"Denver, CO",Technology,2026-08-12,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-32,Senior Data Analyst,Employer 15,"Denver, CO",Technology,2026-01-13,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-33,Senior Data Analyst,Employer 16,"Denver, CO",Technology,2026-02-14,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-34,Senior Data Analyst,Employer 0,"Denver, CO",Technology,2026-03-15,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-35,Senior Data Analyst,Employer 1,"Denver, CO",Technology,2026-04-16,SQL; Python; Excel; Power BI; Tableau; Snowflake. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-36,Senior Data Analyst,Employer 2,"Denver, CO",Technology,2026-05-17,SQL; Python; Excel; Power BI; Tableau. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-37,Senior Data Analyst,Employer 3,"Denver, CO",Technology,2026-06-18,SQL; Python; Excel; Power BI; Tableau. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-38,Senior Data Analyst,Employer 4,"Denver, CO",Technology,2026-07-19,SQL; Python; Excel; Power BI; Tableau. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-39,Senior Data Analyst,Employer 5,"Denver, CO",Technology,2026-08-20,SQL; Python; Excel; Power BI; Tableau. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-40,Senior Data Analyst,Employer 6,"Denver, CO",Technology,2026-01-01,SQL; Python; Excel; Power BI; Tableau. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
da-41,Senior Data Analyst,Employer 7,"Denver, CO",Technology,2026-02-02,SQL; Python; Excel; Power BI; Tableau. Minimum 4 years of experience. Bachelor's degree. Stakeholder management.
