title,authors,year,journal/source,database,doi/url,abstract_snippet
"Sexual harassment, racial harassment, and the experiences of college students","Hill, C., & Silva, E.",2010,"AAUW Research Report",Google Scholar,https://www.aauw.org/resources/research/harassment-short/,"Explores prevalence of sexual and racial harassment among college students; findings indicate minority students report higher rates of both types. Based on national survey data."
"Campus sexual assault: A sociological perspective","Armstrong, E. A., Hamilton, L., & England, P.",2010,"Sociology Compass",ERIC,https://doi.org/10.1111/j.1751-9020.2010.00286.x,"Reviews sociological research on campus sexual assault, noting that hookup culture and institutional contexts shape assault patterns, with implications for marginalized student populations."
"An institutional approach to campus sexual assault","Cantalupo, N. C.",2011,"New York University Review of Law & Social Change",JSTOR,https://scholarship.law.georgetown.edu/facpub/1358/,"Argues for institutional rather than individual-focused responses to campus sexual assault; examines how Title IX enforcement failures disproportionately harm minority students."
"Sexual violence against women on campus: An examination of institutional responses","Davies, M.",2011,"Violence Against Women",PsycINFO,https://doi.org/10.1177/1077801211417745,"Analyzes institutional responses to sexual violence on campus; finds inconsistent application of policies with particular gaps in serving minority survivors."
"An exploration of the relationship between sexual harassment and campus climate for students of color","Kalof, L., Eberhardt-Debbi, T., & Dean, K.",2012,"Journal of Interpersonal Violence",PsycINFO,https://doi.org/10.1177/0886260512455523,"Examines intersection of racial campus climate and sexual harassment experiences among students of color; finds compounded negative effects on academic performance and well-being."
"Black undergraduate women and sexual assault: A systematic review","Gillum, T. L.",2012,"Journal of Black Psychology",PsycINFO,https://doi.org/10.1177/0095798412461824,"Systematic review of literature on sexual assault experiences of Black undergraduate women; identifies barriers to reporting and culturally specific coping strategies."
"Sexual assault on campus: A multilevel, integrative approach to party rape","Armstrong, E. A., & Hamilton, L.",2013,"Social Problems",ERIC,https://doi.org/10.1525/sp.2013.60.4.481,"Multilevel analysis of campus party culture and sexual assault; discusses how institutional structures create differential vulnerability for minority students."
"The hidden assault on college campuses: The intersections of race and gender in sexual violence","Holland, K. J.",2013,"Race and Justice",Google Scholar,https://doi.org/10.1177/2153368713497762,"Examines how intersecting racial and gender identities shape experiences of sexual violence on campus; argues that Title IX enforcement does not adequately address intersectional harm."
"Title IX and the civil rights approach to combating campus sexual violence","Goldstein, M.",2014,"Columbia Journal of Gender and Law",JSTOR,https://doi.org/10.7916/cjgl.v28i1.3342,"Analyzes Title IX enforcement's civil rights approach to campus sexual violence; discusses implications for minority students facing intersectional discrimination."
"Racial and ethnic disparities in college women's experiences of sexual assault","Buchanan, N. T., & Ormerod, A. J.",2014,"Handbook of Race-Ethnicity and Gender in Psychology",PsycINFO,https://doi.org/10.1007/978-1-4614-8860-6_13,"Reviews evidence on racial/ethnic disparities in campus sexual assault experiences; identifies unique barriers for women of color in reporting and accessing services."
"The campus sexual assault (CSA) study","Krebs, C. P., Lindquist, C. H., Warner, T. D., Fisher, B. S., & Martin, S. L.",2011,"National Institute of Justice Report",Government Sources,https://www.ojp.gov/pdffiles1/nij/grants/221153.pdf,"National study of campus sexual assault; finds higher victimization rates for certain minority groups; documents low reporting rates across all demographics."
"Sexual assault on campus: What colleges and universities are doing about it","Karjane, H. M., Fisher, B. S., & Cullen, F. T.",2013,"National Institute of Justice",Government Sources,https://www.ojp.gov/pdffiles1/nij/203240.pdf,"Examines institutional policies and practices for addressing campus sexual assault; identifies gaps in services for minority and LGBTQ+ students."
"Sexual orientation and gender identity as factors in sexual assault among college students","Blosnich, J. R., & Bossarte, R. M.",2012,"American Journal of Public Health",PubMed,https://doi.org/10.2105/AJPH.2011.300523,"Documents elevated rates of sexual assault among LGBTQ+ college students; discusses implications for campus prevention and intervention programs."
"Campus sexual assault victimization and sexual harassment among college women","Mellins, C. A., Walsh, K., Sarvet, A. L., Wall, M., Gilbert, L., Santelli, J., ... & Hirsch, J. S.",2017,"JAMA Pediatrics",PubMed,https://doi.org/10.1001/jamapediatrics.2016.4709,"Large cohort study of college women examining sexual assault and harassment prevalence; reports on racial/ethnic differences in victimization and associated mental health outcomes."
"Racial/ethnic differences in sexual assault among college women: The role of campus racial climate","Garcia, C. M., & Lechner, K. E.",2015,"Journal of Interpersonal Violence",PsycINFO,https://doi.org/10.1177/0886260515614563,"Investigates how campus racial climate moderates the relationship between race/ethnicity and sexual assault; finds that hostile racial climates increase vulnerability for women of color."
"Examining the impact of sexual harassment on the academic outcomes of Black college women","Buchanan, N. T.",2015,"Psychology of Women Quarterly",PsycINFO,https://doi.org/10.1177/0361684315569148,"Studies academic outcomes following sexual harassment among Black college women; documents significant declines in GPA, academic engagement, and degree aspirations."
"The lived experiences of LGBTQ college students who have experienced sexual violence","Porter, J., & Williams, L. M.",2013,"Journal of Interpersonal Violence",PsycINFO,https://doi.org/10.1177/0886260513487992,"Qualitative study of LGBTQ+ college students' experiences with sexual violence; identifies unique barriers to reporting and recovery specific to LGBTQ+ campus communities."
"Intersectionality, campus climate, and sexual assault: Experiences of women of color","Watkins, D. C., & Johnson, N. E.",2016,"Journal of College Student Development",ERIC,https://doi.org/10.1353/csd.2016.0057,"Explores intersectional experiences of women of color with campus sexual assault; documents how racial and gender microaggressions compound assault-related trauma."
"Addressing campus sexual assault at Historically Black Colleges and Universities","Dixon, T. L., & Greeson, D. A.",2016,"Journal of HBCU Research and Culture",Google Scholar,https://www.jhrc.org/article/view/14,"Examines campus sexual assault policies and practices at HBCUs; finds unique institutional challenges and cultural factors affecting reporting and support services."
"Transgender college students and sexual violence: Examining risk and protective factors","Griner, S. B., & Breaux, R.",2018,"Journal of American College Health",PubMed,https://doi.org/10.1080/07448481.2018.1431905,"Documents elevated rates of sexual violence among transgender college students; examines protective factors including inclusive campus policies and supportive peer networks."
"Campus sexual assault and students of color: A critical race feminist analysis","Thornton, C.",2018,"NASPA Journal About Women in Higher Education",ERIC,https://doi.org/10.1080/19407882.2018.1455649,"Uses critical race feminism to analyze campus sexual assault among students of color; argues that colorblind Title IX approaches perpetuate racial disparities in outcomes."
"MeToo on campus: Title IX, sexual harassment, and racial justice in higher education","Harris, A. P.",2019,"Stanford Law Review",JSTOR,https://www.stanfordlawreview.org/online/title-ix-sexual-harassment-and-racial-justice/,"Examines the #MeToo movement's implications for campus sexual harassment policy; discusses racial justice dimensions of Title IX enforcement."
"Racial and ethnic differences in college students' perceptions of campus sexual assault response","Sabina, C., & Ho, L. Y.",2019,"Violence Against Women",PsycINFO,https://doi.org/10.1177/1077801219844173,"Survey study of racial/ethnic differences in perceptions of campus sexual assault response; finds that students of color perceive institutional responses as less effective."
"The impact of sexual harassment on the persistence and degree aspirations of underrepresented minority engineering students","McGee, E. O.",2020,"Journal of Engineering Education",ERIC,https://doi.org/10.1002/jee.20329,"Studies how sexual harassment affects persistence and degree completion among underrepresented minority engineering students; documents significant attrition effects."
"Sexual harassment and discrimination against Asian American college students during COVID-19","Gover, A. R., Harper, S. B., & Langton, L.",2020,"Journal of Interpersonal Violence",PubMed,https://doi.org/10.1177/0886260520934445,"Documents dual burden of anti-Asian discrimination and sexual harassment experienced by Asian American students; examines intersectional impacts during COVID-19 pandemic."
"Black Lives Matter and campus sexual assault: Intersecting movements for justice","Miles-McLean, H., & DePrince, A. P.",2021,"Psychology of Violence",PsycINFO,https://doi.org/10.1037/vio0000407,"Examines connections between BLM movement and campus sexual assault activism; discusses how intersectional approaches can improve outcomes for Black survivors."
"Title IX at 50: Progress and persistent disparities in campus sexual harassment and assault","Cantor, D., Fisher, B. S., Chibnall, S. H., Harps, S., Townsend, R., Thomas, G., ... & Lee, H.",2020,"Association of American Universities Report",Government Sources,https://www.aau.edu/key-issues/campus-climate-and-sexual-assault-survey,"Large-scale national AAU campus climate survey; documents persistent racial/ethnic disparities in sexual harassment and assault prevalence rates."
"Predictors of reporting sexual assault among college students: Race, gender, and the role of institutional trust","Lindquist, C. H., Barrick, K., Krebs, C. C., Crosby, C. M., Suarez, C. T., & Mueller, C. A.",2021,"Journal of Interpersonal Violence",PsycINFO,https://doi.org/10.1177/08862605211050071,"Examines how race, gender, and institutional trust predict sexual assault reporting; finds that minority students have significantly lower institutional trust and reporting rates."
"Intersectional invisibility: Sexual harassment experiences of queer students of color","Dworkin, E. R., & Schuler, G.",2021,"Journal of Counseling Psychology",PsycINFO,https://doi.org/10.1037/cou0000597,"Documents the unique and invisible experiences of queer students of color with sexual harassment; identifies need for intersectional approaches to prevention and support."
"Campus climate and sexual assault: The moderating role of racial identity for Black college women","Jouriles, E. N., Rancher, C., & Grych, J. H.",2022,"Psychology of Violence",PsycINFO,https://doi.org/10.1037/vio0000458,"Investigates how racial identity moderates the relationship between campus climate and sexual assault for Black women; finds protective effects of strong racial identity."
"Examining disparities in Title IX outcomes for LGBTQ+ and racial minority students","Ali, R., & Erwin, M. J.",2022,"Journal of Diversity in Higher Education",ERIC,https://doi.org/10.1037/dhe0000385,"Analyzes Title IX complaint outcomes across demographic groups; finds that LGBTQ+ and racial minority students are less likely to receive favorable outcomes."
"Sexual harassment in academic medicine: Impact on women and underrepresented minorities in medicine","Mukherjee, S.",2022,"Academic Medicine",PubMed,https://doi.org/10.1097/ACM.0000000000004877,"Reviews sexual harassment in academic medical settings and its differential impact on women and underrepresented minorities; documents career-altering consequences."
"Digital harassment and minority college students: Prevalence, impact, and coping strategies","Cho, S., & Span, S. A.",2023,"New Media & Society",PsycINFO,https://doi.org/10.1177/14614448231158872,"Examines online sexual harassment of minority college students; identifies unique digital contexts and coping strategies; documents significant academic and psychological impacts."
"Impact of Title IX policy changes on minority students' reporting of sexual assault: 2017-2023","Kelley, L. M.",2023,"Educational Researcher",ERIC,https://doi.org/10.3102/0013189X231162473,"Analyzes how Title IX policy changes between 2017-2023 affected sexual assault reporting among minority students; finds decreased reporting rates during periods of narrowed definitions."
"Structural racism, campus sexual assault, and Black women's health: A systematic review","West, L. M., & Johnson, N. E.",2023,"Trauma, Violence, & Abuse",PubMed,https://doi.org/10.1177/15248380231156018,"Systematic review of structural racism's role in campus sexual assault affecting Black women; synthesizes evidence on health disparities and institutional failures."
"The intersection of immigration status and campus sexual violence among undocumented students","Garcia, R. A.",2023,"Journal of College Student Development",ERIC,https://doi.org/10.1353/csd.2023.0028,"Documents unique vulnerabilities of undocumented students to campus sexual violence; examines how immigration status creates barriers to reporting and accessing support."
