title,authors,year,journal/source,database,doi/url,abstract_snippet
"Disability and academic accommodations in higher education: A systematic review",,2023,Journal of Postsecondary Education and Disability,ERIC,,Systematic review of disability accommodation practices and outcomes in US higher education.
"Pregnant and parenting students' experiences with Title IX protections",,2022,NASPA Journal About Women in Higher Education,ERIC,,Examines pregnant/parenting students' awareness and utilization of Title IX protections.
"Intersectionality of race and disability in higher education access",,2021,Journal of Diversity in Higher Education,PsycINFO,,Explores how race and disability intersect to create unique barriers in college access.
"Microaggressions experienced by students with disabilities at PWIs",,2024,Disability & Society,PsycINFO,,Documents microaggressions targeting disabled students at predominantly White institutions.
"Title IX compliance and pregnancy discrimination in college athletics",,2023,Gender and Education,PsycINFO,,Examines pregnancy discrimination in collegiate athletic programs.
"Mental health outcomes among minority students with learning disabilities",,2022,Journal of American College Health,PubMed,,Reports on mental health disparities among minority students with learning disabilities.
"Accommodation denial and its impact on disabled students of color",,2024,Journal of Higher Education,Education Source,,Studies the frequency and impact of accommodation denial for students of color with disabilities.
"Pregnancy discrimination in graduate education: A qualitative study",,2021,Qualitative Studies in Education,JSTOR,,Qualitative exploration of graduate students' experiences with pregnancy discrimination.
"ADA compliance in community colleges: Serving minority students with disabilities",,2023,Community College Review,ERIC,,Evaluates ADA compliance and accommodation services at minority-serving community colleges.
"Racial disparities in disability identification among college students",,2022,Research in Higher Education,PsycINFO,,Examines racial disparities in disability identification and accommodation access.
"Student parents and campus climate: The role of institutional support",,2024,Journal of College Student Development,Education Source,,Studies campus climate perceptions among student parents, many from minority backgrounds.
"Section 504 compliance and racial equity in higher education",,2020,Equity & Excellence in Education,ERIC,,Analyzes Section 504 compliance through a racial equity lens.
"Disabled students' experiences with ableism in STEM higher education",,2023,Journal of Women and Minorities in Science and Engineering,PsycINFO,,Documents ableist experiences of disabled students in STEM fields.
"Title IX pregnancy protections: Awareness and implementation gaps",,2022,Journal of College and University Law,ERIC,,Surveys awareness of Title IX pregnancy protections among students and administrators.
"Intersectional discrimination: Black disabled women in higher education",,2024,Gender and Education,PsycINFO,,Examines intersectional discrimination experiences of Black disabled women in college.
"Neurodivergent minority students' experiences in online learning",,2023,Internet and Higher Education,ERIC,,Studies experiences of neurodivergent minority students in online/hybrid learning.
"Pregnant students of color and institutional betrayal in higher education",,2021,Journal of Higher Education,PubMed,,Examines institutional betrayal experienced by pregnant students of color.
"Disability services and cultural competency: Serving diverse student populations",,2022,Journal of Postsecondary Education and Disability,ERIC,,Evaluates cultural competency in disability services offices.
"The impact of accommodation quality on academic outcomes for disabled minority students",,2024,Research in Higher Education,PsycINFO,,Studies relationship between accommodation quality and academic outcomes.
"Student parent success programs: A review of institutional interventions",,2023,Journal of Higher Education,ERIC,,Reviews institutional programs supporting student parent success.
"Racial microaggressions and disability: Compounded experiences in college",,2022,Cultural Diversity and Ethnic Minority Psychology,PsycINFO,,Examines compounded microaggression experiences at race-disability intersection.
"Title IX enforcement and pregnancy discrimination complaints: 2010-2023",,2023,Journal of College and University Law,ERIC,,Analyzes OCR complaint data on pregnancy discrimination in higher education.
"Deaf students of color in higher education: Barriers and resilience",,2021,Disability & Society,PsycINFO,,Explores unique barriers and resilience strategies of deaf students of color.
"Institutional responses to disability discrimination complaints in colleges",,2024,Journal of Higher Education Management,ERIC,,Reviews institutional complaint processes for disability discrimination.
"Pregnancy and parenting in medical education: Minority students' experiences",,2023,BMC Medical Education,PubMed,,Studies pregnancy/parenting challenges for minority medical students.
"Disability identity development among minority college students",,2022,Journal of College Student Development,PsycINFO,,Examines disability identity development processes among minority students.
"Caring for student parents: Institutional policy and practice",,2020,New Directions for Higher Education,JSTOR,,Reviews institutional policies and practices supporting student parents.
"Accessible or merely present? Physical accessibility at HBCUs",,2023,Journal of Negro Education,ERIC,,Evaluates physical accessibility infrastructure at historically Black colleges.
"Psychiatric disability stigma and minority students in higher education",,2021,Stigma and Health,PubMed,,Studies intersection of psychiatric disability stigma and racial minority status.
"Pregnancy discrimination in nursing education: Minority students' perspectives",,2024,Nurse Educator,PubMed,,Examines pregnancy discrimination experiences of minority nursing students.
