page	entry
10	Sample Entry Template
10	Entry Name
11	Abbreviations, Acronyms, and Initialisms
11	Abbreviations, Political titles
11	Academic Degrees
12	Abortion
13	Accent Marks
14	Adviser, advisor
14	African American
14	Amid
14	Apostrophes
15	Arab American
15	Army Reserve
15	Article, section, and clause numbers
15	Asian, Asian American
16	Assisted death
16	At large, at-large
16	At-Large Congressional District
17	Ballot initiative
17	Between ... and, From ... to
17	Bills and resolutions
17	Bipartisan
18	BIPOC
18	Biracial, multiracial
18	Black
18	Board member
19	BP News best practices
20	Bolding
21	Brackets, internal links
21	Brackets, Internal links with titles, possessives
21	Brackets, altering the text of a quotation
22	Bulleted lists
23	By district, by-district
23	Campaign slogans
23	Cancel, canceled, canceling, cancellation
24	Capitalization, the basics
24	Monthly style digest, July 2022, Capitalization
24	Capitalization, Governing bodies
25	Capitalization, Occupational titles
25	Capitalization, Political affiliations and ideologies
26	Capitol
26	Caucus
26	Chairman, chairwoman, chair
27	Cisgender
27	City
27	City council
27	Clean energy, green energy
27	Climate change
28	Comma
28	Comma, introductory words and phrases
28	Comma, with conjunctions
29	Comprised of, composed of
29	Congressman, congresswoman
29	Coordinating conjunction, beginning a sentence with
30	Councilman, councilwoman, council member
30	County
30	Court names
31	Crime, criminal justice
31	Critical race theory (CRT)
31	Dangling prepositions
32	Dates, basic format: [month] [day], [year]
32	Monthly style email, April 2022, Dates
32	Dates, formatting date ranges
33	Dates, Historical periods and events
33	Dates, Formatting dates for news posts
34	Death
34	Decimals, rounding
34	Democrat, Democratic Party
35	Disabled, disability
35	Disambiguation pages
35	Disclaimers
36	District of Columbia
36	District
36	Dual heritage
37	Electoral College
37	— Em dash
37	Ellipsis
38	Email
38	Ensure, insure
38	– En dash
39	ESG (environmental, social, and governance)
39	Ex officio
39	Exclamation point (!)
39	Explanatory notes
40	External links
40	Factive verbs
40	Bias basics: factive verbs
40	Federal
41	Fewer, less
41	Firearms, guns
41	Fiscal year
41	Front-runner
42	Global warming
42	Governor
42	Greener
42	Greenhouse gases, emissions
43	Gulf of America (formerly Gulf of Mexico)
43	Headers
43	Hiding content
43	Healthcare
44	Hispanic
44	However
44	Hyphen
46	Immigration
46	Incumbent
46	Independent, political affiliation
47	Indian American
47	Internal links
47	2025.
47	Internet
48	Italics
50	Judge, justice
50	Judgment
50	Jungle primary/ Louisiana majority-vote system
51	Latino/Latina
51	Left-wing, leftist, far-left
51	Legislatively referred
52	Legislature
52	Majority, plurality
52	Media
52	Middle class, middle-class
53	Middle initials
53	Midterm election
53	Months
53	Myriad
54	Names, individuals
54	Nationwide
54	Native Americans
54	Nicknames, individuals
55	Noncitizen
55	None
55	Nonpartisan
56	Nonprofit
56	Numerals
57	Monthly style email, February 2022, Numbers
57	Numeric ranges
58	Obamacare, Affordable Care Act
58	Officeholder
58	Opt-out/ opt out
59	Parentheses
59	Parental Bill of Rights, parental rights
60	Passive voice
60	Percentage points or less
60	Percent
61	Person/people of color
61	Photo captions
61	Political affiliation
62	Preschool
62	President
63	Profile pages, names
63	Profile pages, nicknames
64	Pronouns
64	Proper nouns with shared words
64	Proved, proven
64	Public assistance programs
65	Public servant
65	Question mark (?)
65	Quotations, Direct quotations
66	Quotations, Dialogue
66	Quotations, Altering the text of a quote
67	Quotations, Quotes within quotes
68	Quotations, Splitting quotes
68	Quotations, Quote template use
68	Quotations, Scare quotes
69	Re-elect, re-election
69	Redirects
69	BP Basics Documentation: Redirect policy
69	Referendum
69	Referring to other articles on BP
69	Republican, Republican Party
70	Right-wing, rightist, far-right
70	Runner-up, runners-up
70	Running mate
70	Runoff
70	Same-sex marriage
71	Sample Ballot Lookup Tool
71	Satellite spending
71	Seasons
71	See also
72	Sexual commerce and exploitation
72	Sexuality and gender identity
72	[sic]
73	Signature filing deadline
73	Singular proper nouns ending in -s
73	Split infinitives
74	Spokesman, spokeswoman, spokesperson
74	State
74	State names, abbreviations for
76	Statehouse, State House
76	State nicknames
76	State of the Union, State of the State, State of the City
76	Statewide
77	Supreme courts of the states
77	Swearing in, swear in, sworn in
77	Teachers union
78	The, usage with proper nouns
78	They/them, as a singular pronoun
78	They/them/their, nonbinary
79	Think tank
79	Third party/third-party
79	Tilde
79	Time
80	Titles, courtesy
80	Today, tomorrow, tonight
80	Toward
80	Transclusion
81	BP Intermediate Documentation: Transclusion
81	Transgender
81	Transgender, name change
82	Transgender, sports participation
82	Travel, traveled, traveling, traveler
82	United States
83	Vote-getters, vote recipients
83	Votes counted, votes cast
83	Vote totals
83	White
84	Year
84	Zero
